"","PF","Gruppe"
"1",12.072570685735,"G1"
"2",10.3794241389822,"G1"
"3",7.18440471536967,"G1"
"4",13.1017668127281,"G1"
"5",11.0550142184174,"G1"
"6",9.27003346510913,"G1"
"7",12.2144185892137,"G1"
"8",12.1723822734944,"G1"
"9",12.0324793477603,"G1"
"10",11.7036019034241,"G1"
"11",11.3703165960579,"G1"
"12",9.8468388866977,"G1"
"13",9.24309017194299,"G1"
"14",9.05876672520488,"G1"
"15",8.28138984823419,"G1"
"16",9.48564106080057,"G1"
"17",6.8695823105277,"G1"
"18",15.3657007254425,"G1"
"19",12.9883329464462,"G1"
"20",7.22158280944887,"G1"
"21",9.0033179614614,"G1"
"22",8.8455584117509,"G1"
"23",11.9295271403188,"G1"
"24",9.7937563198165,"G1"
"25",10.6266753940749,"G1"
"26",9.92937922745718,"G1"
"27",9.89394434582162,"G1"
"28",13.3857350658719,"G1"
"29",9.44147342735622,"G1"
"30",13.7515410881244,"G1"
"31",3.0393088322976,"G2"
"32",8.49505751232639,"G2"
"33",7.31673770555117,"G2"
"34",7.55223652330312,"G2"
"35",7.97086813477992,"G2"
"36",5.71538694966325,"G2"
"37",6.14787463957578,"G2"
"38",4.39515401522292,"G2"
"39",4.25906288419432,"G2"
"40",7.77622665532611,"G2"
"41",8.14622585776544,"G2"
"42",7.13554995483398,"G2"
"43",9.35855367255079,"G2"
"44",12.2427684296857,"G2"
"45",5.74426519380324,"G2"
"46",1.09466459366339,"G2"
"47",9.57201774226041,"G2"
"48",5.18633084065084,"G2"
"49",5.24052641383283,"G2"
"50",9.6227371177062,"G2"
"51",6.27173792309123,"G2"
"52",3.8782068720208,"G2"
"53",7.4636550706832,"G2"
"54",6.64480723393693,"G2"
